iter	Passed	Remaining
614	2399	1502
615	2403	1498
616	2408	1495
617	2412	1491
618	2416	1487
619	2419	1483
620	2424	1479
621	2428	1475
622	2431	1471
623	2435	1467
624	2440	1464
625	2443	1460
626	2447	1455
627	2451	1452
628	2456	1448
629	2459	1444
630	2463	1440
631	2467	1436
632	2471	1432
633	2474	1428
634	2478	1424
635	2483	1421
636	2486	1417
637	2490	1413
638	2493	1408
639	2498	1405
640	2501	1401
641	2505	1396
642	2508	1393
643	2513	1389
644	2516	1385
645	2520	1381
646	2523	1377
647	2529	1373
648	2532	1369
649	2535	1365
650	2539	1361
651	2543	1357
652	2548	1354
653	2551	1350
654	2555	1345
655	2559	1342
656	2562	1337
657	2566	1333
658	2569	1329
659	2574	1326
660	2577	1321
661	2580	1317
662	2584	1313
663	2588	1309
664	2592	1305
665	2595	1301
666	2598	1297
667	2603	1294
668	2606	1289
669	2610	1285
670	2613	1281
671	2617	1277
672	2621	1273
673	2624	1269
674	2627	1265
675	2632	1261
676	2635	1257
677	2638	1253
678	2642	1249
679	2646	1245
680	2649	1241
681	2653	1237
682	2656	1232
683	2660	1229
684	2663	1224
685	2666	1220
686	2670	1216
687	2673	1212
688	2677	1208
689	2680	1204
690	2684	1200
691	2687	1196
692	2692	1192
693	2696	1188
694	2699	1184
695	2702	1180
696	2706	1176
697	2710	1172
698	2713	1168
699	2717	1164
700	2721	1160
701	2724	1156
702	2727	1152
703	2733	1149
704	2737	1145
705	2740	1141
706	2744	1137
707	2747	1133
708	2752	1129
709	2755	1125
710	2758	1121
711	2762	1117
712	2766	1113
713	2770	1109
714	2773	1105
715	2776	1101
716	2781	1097
717	2784	1093
718	2787	1089
719	2791	1085
720	2795	1081
721	2798	1077
722	2801	1073
723	2804	1069
724	2809	1065
725	2812	1061
726	2816	1057
727	2819	1053
728	2826	1050
729	2829	1046
730	2832	1042
731	2835	1038
732	2840	1034
733	2843	1030
734	2846	1026
735	2850	1022
736	2855	1018
737	2858	1014
738	2862	1010
739	2865	1006
740	2870	1003
741	2873	999
742	2876	995
743	2880	991
744	2884	987
745	2888	983
746	2891	979
747	2894	975
748	2898	971
749	2902	967
750	2905	963
751	2908	959
752	2913	955
753	2917	951
754	2920	947
755	2925	944
756	2930	940
757	2933	936
758	2937	932
759	2941	928
760	2945	925
761	2949	921
762	2952	917
763	2957	913
764	2961	909
765	2964	905
766	2968	901
767	2973	898
768	2977	894
769	2980	890
770	2984	886
771	2989	882
772	2993	878
773	2996	875
774	3001	871
775	3005	867
776	3008	863
777	3012	859
778	3016	855
779	3020	851
780	3023	847
781	3027	843
782	3042	843
783	3046	839
784	3050	835
785	3054	831
786	3058	827
787	3063	824
788	3067	820
789	3071	816
790	3074	812
791	3080	808
792	3083	804
793	3087	800
794	3091	797
795	3095	793
796	3098	789
797	3102	785
798	3106	781
799	3112	778
800	3116	774
801	3119	770
802	3124	766
803	3128	762
804	3131	758
805	3135	754
806	3139	750
807	3142	746
808	3146	742
809	3149	738
810	3154	735
811	3157	731
812	3161	727
813	3165	723
814	3169	719
815	3173	715
816	3177	711
817	3182	708
818	3186	704
819	3189	700
820	3193	696
821	3197	692
822	3201	688
823	3204	684
824	3207	680
825	3211	676
826	3215	672
827	3218	668
828	3222	664
829	3225	660
830	3229	656
831	3232	652
832	3236	648
833	3239	644
834	3244	641
835	3247	637
836	3251	633
837	3255	629
838	3258	625
839	3262	621
840	3265	617
841	3270	613
842	3274	609
843	3277	605
844	3281	601
845	3285	598
846	3289	594
847	3292	590
848	3297	586
849	3302	582
850	3306	578
851	3309	574
852	3312	570
853	3317	567
854	3320	563
855	3323	559
856	3326	555
857	3331	551
858	3334	547
859	3337	543
860	3340	539
861	3344	535
862	3348	531
863	3351	527
864	3355	523
865	3358	519
866	3362	515
867	3365	511
868	3369	507
869	3372	503
870	3376	500
871	3380	496
872	3383	492
873	3386	488
874	3390	484
875	3394	480
876	3397	476
877	3400	472
878	3403	468
879	3408	464
880	3411	460
881	3414	456
882	3418	452
883	3422	449
884	3425	445
885	3429	441
886	3432	437
887	3437	433
888	3440	429
889	3443	425
890	3447	421
891	3451	417
892	3454	413
893	3457	410
894	3461	406
895	3464	402
896	3468	398
897	3471	394
898	3474	390
899	3478	386
900	3482	382
901	3485	378
902	3488	374
903	3493	371
904	3498	367
905	3502	363
906	3505	359
907	3508	355
908	3512	351
909	3516	347
910	3519	343
911	3522	339
912	3527	336
913	3530	332
914	3533	328
915	3537	324
916	3541	320
917	3544	316
918	3548	312
919	3551	308
920	3555	305
921	3559	301
922	3562	297
923	3565	293
924	3569	289
925	3573	285
926	3576	281
927	3579	277
928	3582	273
929	3586	269
930	3590	266
931	3593	262
932	3596	258
933	3600	254
934	3604	250
935	3607	246
936	3610	242
937	3614	238
938	3618	235
939	3621	231
940	3624	227
941	3628	223
942	3632	219
943	3635	215
944	3638	211
945	3642	207
946	3646	204
947	3649	200
948	3653	196
949	3656	192
950	3661	188
951	3664	184
952	3667	180
953	3671	177
954	3676	173
955	3680	169
956	3683	165
957	3687	161
958	3691	157
959	3694	153
960	3697	150
961	3701	146
962	3705	142
963	3709	138
964	3712	134
965	3715	130
966	3719	126
967	3723	123
968	3726	119
969	3729	115
970	3733	111
971	3736	107
972	3739	103
973	3743	99
974	3746	96
975	3751	92
976	3754	88
977	3757	84
978	3760	80
979	3764	76
980	3768	72
981	3771	69
982	3774	65
983	3777	61
984	3781	57
985	3784	53
986	3788	49
987	3791	46
988	3795	42
989	3798	38
990	3802	34
991	3805	30
992	3808	26
993	3812	23
994	3815	19
995	3819	15
996	3823	11
997	3827	7
998	3830	3
999	3833	0
